Date,Time,Device ID,Voltage,Current,Temp,Response,,
6/26/2026,14:19:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:19:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:19:45,8,3.86,0.95,35.7,OK,,3.667
6/26/2026,14:20:00,8,3.83,0.95,35.7,OK,,3.6385
6/26/2026,14:20:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:20:30,8,0.62,0.15,36,OK,,0.093
6/26/2026,14:20:45,8,0.59,0.15,36.2,OK,,0.0885
6/26/2026,14:21:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:21:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:21:30,8,0.62,0.15,35.7,OK,,0.093
6/26/2026,14:21:45,8,0.61,0.15,35,OK,,0.0915
6/26/2026,14:22:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:22:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:22:30,8,0.61,0.15,35.2,OK,,0.0915
6/26/2026,14:22:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:23:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:23:15,8,0.6,0.15,35.2,OK,,0.09
6/26/2026,14:23:30,8,0.6,0.15,35.5,OK,,0.09
6/26/2026,14:23:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:24:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:24:15,8,0.63,0.15,35.7,OK,,0.0945
6/26/2026,14:24:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:24:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:25:00,8,0.63,0.15,35,OK,,0.0945
6/26/2026,14:25:15,8,0.62,0.15,35.2,OK,,0.093
6/26/2026,14:25:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:25:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:26:00,8,0.6,0.15,35.7,OK,,0.09
6/26/2026,14:26:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:26:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:26:45,8,0.59,0.14,35.5,OK,,0.0826
6/26/2026,14:27:00,8,0.59,0.14,35,OK,,0.0826
6/26/2026,14:27:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:27:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:27:45,8,0.6,0.15,35.5,OK,,0.09
6/26/2026,14:28:00,8,0.61,0.15,35,OK,,0.0915
6/26/2026,14:28:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:28:30,8,0.61,0.15,35,OK,,0.0915
6/26/2026,14:28:45,8,0.62,0.15,35,OK,,0.093
6/26/2026,14:29:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:29:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:29:30,8,0.62,0.15,35,OK,,0.093
6/26/2026,14:29:45,8,0.63,0.16,34.5,OK,,0.1008
6/26/2026,14:30:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:30:15,8,0.63,0.15,34.5,OK,,0.0945
6/26/2026,14:30:30,8,1.17,0.32,35,OK,,0.3744
6/26/2026,14:30:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:31:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:31:15,8,1.17,0.29,35.2,OK,,0.3393
6/26/2026,14:31:30,8,1.79,0.45,35.2,OK,,0.8055
6/26/2026,14:31:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:32:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:32:15,8,1.85,0.46,35.2,OK,,0.851
6/26/2026,14:32:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:32:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:33:00,8,1.86,0.46,35.2,OK,,0.8556
6/26/2026,14:33:15,8,1.86,0.46,35.5,OK,,0.8556
6/26/2026,14:33:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:33:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:34:00,8,1.87,0.46,35.2,OK,,0.8602
6/26/2026,14:34:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:34:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:34:45,8,1.88,0.46,35.2,OK,,0.8648
6/26/2026,14:35:00,8,1.87,0.46,35,OK,,0.8602
6/26/2026,14:35:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:35:30,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:35:45,8,1.88,0.47,35.2,OK,,0.8836
6/26/2026,14:36:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:36:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:36:30,8,1.88,0.47,35,OK,,0.8836
6/26/2026,14:36:45,8,1.88,0.47,34.5,OK,,0.8836
6/26/2026,14:37:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:37:15,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:37:30,8,1.87,0.46,35.2,OK,,0.8602
6/26/2026,14:37:45,8,1.86,0.46,34.7,OK,,0.8556
6/26/2026,14:38:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:38:15,8,1.83,0.45,34.7,OK,,0.8235
6/26/2026,14:38:30,8,1.82,0.45,34.7,OK,,0.819
6/26/2026,14:38:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:39:00,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:39:15,8,1.89,0.47,34.7,OK,,0.8883
6/26/2026,14:39:30,8,1.88,0.47,34.5,OK,,0.8836
6/26/2026,14:39:45,8,NA,NA,NA,NO RESPONSE,,#VALUE!
6/26/2026,14:40:00,8,1.92,0.48,34.5,OK,,0.9216
6/26/2026,14:40:15,8,1.92,0.48,35,OK,,0.9216
6/26/2026,14:40:15,8,1.92,0.47,34.2,OK,,0.9024
